Sl. No.,State/UT-wise,2017 - Murder,2017 - Robbery,2017 - Dacoity,2017 - Rape,2018 - Murder,2018 - Robbery,2018 - Dacoity,2018 - Rape
1,Andhra Pradesh,1054,340,58,988,935,252,51,971
2,Arunachal Pradesh,79,58,6,59,62,63,5,67
3,Assam,1144,1092,157,1772,1241,1501,156,1648
4,Bihar,2803,1594,326,605,2934,1731,280,651
5,Chhattisgarh,919,356,70,1908,917,420,84,2091
6,Goa,31,27,2,76,29,18,3,61
7,Gujarat,970,1277,306,477,1072,1483,334,553
8,Haryana,1046,572,196,1099,1104,502,194,1296
9,Himachal Pradesh,99,8,3,249,99,9,1,344
10,Jammu & Kashmir,152,57,2,296,181,83,9,320
11,Jharkhand,1487,526,179,914,1712,557,152,1090
12,Karnataka,1384,2152,304,546,1334,2024,246,492
13,Kerala,305,807,63,2003,292,867,71,1945
14,Madhya Pradesh,1908,1581,98,5562,1879,1361,91,5433
15,Maharashtra,2103,6451,652,1933,2199,7430,769,2142
16,Manipur,63,8,1,40,52,6,0,52
17,Meghalaya,87,64,28,119,95,56,27,87
18,Mizoram,21,5,0,25,27,5,1,50
19,Nagaland,36,30,4,10,31,17,3,10
20,Odisha,1267,2048,462,2070,1378,2125,480,918
21,Punjab,659,122,27,530,684,131,47,831
22,Rajasthan,1473,972,47,3305,1508,1022,75,4335
23,Sikkim,13,3,0,17,12,8,0,16
24,Tamil Nadu,1560,1841,97,283,1569,2295,100,331
25,Telangana,805,790,73,552,786,576,52,606
26,Tripura,124,17,4,95,137,25,10,97
27,Uttar Pradesh,4324,4089,263,4246,4018,3218,144,3946
28,Uttarakhand,181,253,16,374,211,180,10,561
29,West Bengal,2001,369,68,1084,1933,291,56,1069
Total States,Total States,28098,27509,3512,31237,28431,28256,3451,32013
30,Andaman & Nicobar Islands,9,8,0,13,11,2,4,30
31,Chandigarh,25,54,10,65,20,58,5,86
32,Dadra & Nagar Haveli,3,4,4,1,7,1,3,7
33,Daman & Diu,6,1,0,7,5,3,0,3
34,Delhi,487,3147,36,1229,513,2444,25,1215
35,Lakshadweep,0,1,0,0,1,0,0,2
36,Puducherry,25,18,13,7,29,58,4,0
Total UTs,Total UTs,555,3233,63,1322,586,2566,41,1343
Total (All-India),Total (All-India),28653,30742,3575,32559,29017,30822,3492,33356
