S. No,Category,State/UT,Disputes - Total,Disputes - Property/Land Dispute,Disputes - Family Dispute,Disputes - Petty Quarrel/Dispute,Disputes - Money Dispute,Disputes - Water Dispute,Personal Vendetta or Enmity,Gain,Blind Murder/No Clue/Motive Not Known,Illicit Relationship,Love Affairs,Dowry,Road Rage,Extremism/Naxalism/Insurgency,Class Conflict,During Dacoity/Robbery,For Political Reason,Honour Killing,Gang Rivalry,Witchcraft,Casteism,Psychopath/Serial Killers,Child/Human Sacrifice,Communal/Religious,Sale of Body Parts,Other Causes or Motive,Total Motives of Murder
1,State,Andhra Pradesh,374,91,152,94,37,0,86,52,55,179,15,46,0,6,0,2,2,1,0,2,4,0,0,0,0,230,1054
2,State,Arunachal Pradesh,6,0,4,2,0,0,3,1,2,1,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,59,79
3,State,Assam,277,183,55,12,27,0,331,94,61,15,26,24,0,0,0,1,0,0,3,3,0,0,1,0,0,308,1144
4,State,Bihar,993,939,15,0,35,4,585,673,48,245,173,8,0,1,62,0,12,0,0,1,0,0,0,0,0,2,2803
5,State,Chhattisgarh,171,44,78,39,9,1,66,36,30,60,36,6,0,66,0,4,0,0,0,6,0,3,0,0,0,435,919
6,State,Goa,12,1,1,8,2,0,7,1,8,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,31
7,State,Gujarat,419,51,89,211,63,5,175,25,110,46,126,6,6,0,2,14,4,0,0,6,3,4,0,1,1,22,970
8,State,Haryana,200,90,73,4,33,0,277,45,123,41,14,14,0,0,0,9,0,3,0,0,1,0,5,0,0,314,1046
9,State,Himachal Pradesh,41,16,12,10,2,1,13,13,12,9,7,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,99
10,State,Jammu & Kashmir,27,12,12,2,0,1,13,1,8,2,2,0,0,64,0,1,0,3,0,0,0,0,0,0,0,31,152
11,State,Jharkhand,248,133,42,25,48,0,217,316,55,33,60,75,4,23,16,9,42,41,20,19,1,0,2,2,0,304,1487
12,State,Karnataka,457,188,138,91,38,2,323,49,35,119,48,35,0,0,17,5,9,0,7,3,8,1,5,3,0,260,1384
13,State,Kerala,109,11,64,25,9,0,107,16,12,17,4,0,0,0,0,0,5,2,0,0,0,3,0,2,0,28,305
14,State,Madhya Pradesh,629,147,193,225,50,14,386,63,71,168,104,38,3,0,9,10,1,0,2,13,2,2,0,0,0,407,1908
15,State,Maharashtra,824,166,334,157,153,14,183,59,125,222,123,42,3,15,10,20,4,16,1,5,2,6,5,0,1,437,2103
16,State,Manipur,1,0,1,0,0,0,9,0,3,4,1,0,4,10,0,0,0,0,0,0,0,0,0,0,0,31,63
17,State,Meghalaya,8,0,2,6,0,0,4,8,53,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,10,87
18,State,Mizoram,7,0,1,6,0,0,1,0,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,21
19,State,Nagaland,1,0,1,0,0,0,5,3,12,0,2,0,1,2,0,1,0,0,0,0,0,0,0,0,0,9,36
20,State,Odisha,74,72,2,0,0,0,107,164,0,4,54,291,1,0,0,0,8,0,0,9,0,0,0,3,0,552,1267
21,State,Punjab,302,58,95,117,28,4,78,8,84,85,19,6,0,3,0,9,1,2,1,0,1,0,0,0,0,60,659
22,State,Rajasthan,166,40,51,73,2,0,44,34,39,30,44,44,0,0,1,4,1,1,0,2,1,2,0,1,0,1059,1473
23,State,Sikkim,3,0,1,2,0,0,3,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,13
24,State,Tamil Nadu,824,119,337,291,76,1,276,94,29,129,123,1,0,0,0,0,3,2,1,0,2,2,0,0,0,74,1560
25,State,Telangana,368,78,186,89,14,1,45,42,49,103,13,59,0,0,0,0,0,0,0,3,0,0,0,1,0,122,805
26,State,Tripura,11,5,5,1,0,0,29,19,4,3,2,20,0,0,0,0,1,0,0,0,0,0,0,0,0,35,124
27,State,Uttar Pradesh,1051,313,317,313,106,2,984,159,144,170,329,125,514,0,30,14,3,14,27,1,29,1,1,1,0,727,4324
28,State,Uttarakhand,26,4,6,5,11,0,8,36,28,0,17,3,0,0,0,1,0,0,0,0,2,0,0,0,0,60,181
29,State,West Bengal,105,39,63,0,3,0,168,69,34,15,20,274,1,0,0,0,1,0,0,0,0,0,0,1,0,1313,2001
State,State,Total State(S),7734,2800,2330,1808,746,50,4533,2080,1237,1703,1365,1119,537,196,147,105,98,91,62,73,56,25,19,15,2,6901,28098
30,Union Territory,A&N Islands,6,1,4,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9
31,Union Territory,Chandigarh,7,0,3,2,2,0,6,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,25
32,Union Territory,D&N Haveli,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
33,Union Territory,Daman & Diu,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,6
34,Union Territory,Delhi,144,11,43,59,31,0,114,19,37,33,20,4,2,0,0,20,0,0,4,0,0,0,0,0,0,90,487
35,Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Union Territory,Puducherry,4,1,2,1,0,0,7,3,0,2,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,1,25
Union Territory,Union Territory,Total UT(s),164,13,54,64,33,0,127,23,39,35,25,4,3,0,0,20,0,1,12,0,0,0,0,1,0,101,555
Total (All India),Total (All India),Total (All India),7898,2813,2384,1872,779,50,4660,2103,1276,1738,1390,1123,540,196,147,125,98,92,74,73,56,25,19,16,2,7002,28653
