S. No,Category,State/UT,Disputes - Total,Disputes - Property/Land Dispute,Disputes - Family Dispute,Disputes - Petty Quarrel/Dispute,Disputes - Money Dispute,Disputes - Water Dispute,Personal Vendetta or Enmity,Gain,Illicit Relationship,Love Affairs,Blind Murder/No Clue/Motive Not Known,Dowry,Extremism/Naxalism/Insurgency,During Dacoity/Robbery,Class Conflict,Witchcraft,Road Rage,For Political Reason,Gang Rivalry,Casteism,Honour Killing,Communal/Religious,Psychopath/Serial Killers,Child/ Human Sacrifice,Sale of Body Parts,Other Causes or Motive,Total Motives of Murder
1,State,Andhra Pradesh,396,65,186,109,36,0,78,46,178,21,24,24,1,0,0,9,0,0,1,0,0,0,0,0,0,157,935
2,State,Arunachal Pradesh,3,0,2,1,0,0,2,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,50,62
3,State,Assam,228,139,77,4,8,0,307,35,7,22,63,19,0,0,15,0,1,0,0,0,1,0,0,0,0,543,1241
4,State,Bihar,1245,1016,132,11,71,15,595,462,112,269,158,37,1,3,4,0,10,9,0,2,0,12,0,0,0,15,2934
5,State,Chhattisgarh,161,54,43,48,16,0,78,18,76,48,35,2,96,1,0,8,0,0,0,0,0,0,0,0,0,394,917
6,State,Goa,17,2,0,13,2,0,5,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,29
7,State,Gujarat,454,60,96,211,69,18,182,33,71,158,98,6,0,27,1,4,4,2,0,2,1,1,1,0,0,27,1072
8,State,Haryana,338,136,126,28,48,0,270,70,35,21,87,20,2,7,1,3,0,1,1,2,0,0,1,0,0,245,1104
9,State,Himachal Pradesh,18,10,4,3,1,0,12,4,8,8,3,0,0,0,0,0,0,1,0,0,6,0,0,0,0,39,99
10,State,Jammu & Kashmir,26,11,9,6,0,0,18,0,6,3,11,0,59,2,0,0,0,0,0,0,2,0,0,1,0,53,181
11,State,Jharkhand,362,140,125,29,58,10,178,875,50,59,17,61,2,1,12,18,23,1,0,0,9,0,0,0,0,44,1712
12,State,Karnataka,481,170,132,116,59,4,264,54,115,60,73,18,0,2,4,0,0,6,5,9,0,3,1,1,0,238,1334
13,State,Kerala,108,11,60,30,7,0,126,17,8,5,8,0,0,0,0,0,0,4,0,0,1,0,0,0,0,15,292
14,State,Madhya Pradesh,512,112,194,169,35,2,351,31,169,116,109,29,0,15,15,10,2,3,6,0,0,0,1,2,0,508,1879
15,State,Maharashtra,998,177,327,302,178,14,243,43,256,125,124,36,7,7,32,0,5,7,3,4,3,0,0,0,0,306,2199
16,State,Manipur,3,1,2,0,0,0,6,0,0,1,6,0,15,1,0,0,8,1,0,0,0,0,0,0,0,11,52
17,State,Meghalaya,18,1,5,10,2,0,7,4,0,1,47,0,0,0,0,0,4,1,0,0,0,0,0,0,0,13,95
18,State,Mizoram,14,1,4,8,1,0,1,1,1,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27
19,State,Nagaland,2,1,1,0,0,0,1,2,0,0,19,0,1,0,0,0,0,2,0,0,0,0,0,0,0,4,31
20,State,Odisha,55,33,16,6,0,0,54,832,0,38,4,119,1,0,0,5,0,0,0,0,1,0,0,0,0,269,1378
21,State,Punjab,253,46,85,93,26,3,84,6,81,15,90,9,1,10,0,0,2,2,0,0,3,0,4,0,0,124,684
22,State,Rajasthan,256,54,74,67,51,10,39,32,46,40,43,59,0,10,5,1,0,0,2,0,1,0,2,0,0,972,1508
23,State,Sikkim,9,0,4,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12
24,State,Tamil Nadu,791,100,336,278,76,1,281,81,136,130,29,3,0,1,0,1,0,0,0,4,0,2,1,0,0,109,1569
25,State,Telangana,330,69,162,85,12,2,40,46,90,19,70,47,2,0,0,2,0,0,0,0,1,0,1,0,0,138,786
26,State,Tripura,38,6,25,5,2,0,34,10,7,2,12,10,0,0,0,0,0,2,0,0,0,0,0,0,0,22,137
27,State,Uttar Pradesh,2084,1323,296,280,173,12,344,196,147,344,186,55,0,10,18,1,0,0,30,13,0,6,5,0,0,579,4018
