Category,State/UT,Disputes - Disputes (Total),Disputes - Property/Land Dispute,Disputes - Family Dispute,Disputes - Petty Quarrel/Dispute,Disputes - Money Dispute,Disputes - Water Dispute,Personal Vendetta or Enmity,Gain,Illicit Relation-ship,Love Affairs,Blind Murder/No Clue/ Motive Not Known,Dowry,Extremism/ Naxalism/ Insurgency,During Dacoity/Robbery,Witch- craft,For Political Reason,Casteism,Gang Rivalry,Class Conflict,Road Rage,Honour Killing,Psychopath/ Serial Killers,Communal / Religious,Child/ Human Sacrifice,Sale of Body parts,Other Causes or Motive,Total Motives of Murder,Year
State,Andhra Pradesh,369,77,154,102,35,1,56,46,164,23,24,14,3,0,2,5,6,1,0,0,1,0,4,1,0,151,870,2019
State,Arunachal Pradesh,0,0,0,0,0,0,2,0,1,1,9,0,0,1,0,3,0,0,0,0,1,0,0,0,0,42,60,2019
State,Assam,562,426,95,22,19,0,300,151,19,25,12,26,0,0,2,0,0,0,8,0,0,2,1,1,0,126,1235,2019
State,Bihar,1215,782,235,11,143,44,547,519,101,270,240,84,4,3,15,6,4,1,0,3,0,0,7,4,0,115,3138,2019
State,Chhattisgarh,211,50,126,25,10,0,35,10,45,35,39,10,50,2,22,0,1,2,0,3,0,1,0,0,1,446,913,2019
State,Goa,16,3,4,9,0,0,10,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33,2019
State,Gujarat,459,41,106,228,80,4,152,16,49,147,94,3,0,23,3,1,4,0,7,1,5,2,1,0,0,26,993,2019
State,Haryana,327,131,128,38,30,0,273,55,36,48,54,24,0,4,0,1,3,1,0,0,3,0,0,0,0,308,1137,2019
State,Himachal Pradesh,13,2,4,5,2,0,9,6,9,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,27,70,2019
State,Jammu & Kashmir,22,8,11,3,0,0,13,1,3,2,33,0,32,0,0,1,0,0,0,0,1,0,0,0,0,11,119,2019
State,Jharkhand,226,120,66,0,37,3,202,871,23,52,81,35,12,0,15,6,0,0,0,1,0,0,0,0,0,102,1626,2019
State,Karnataka,446,127,144,117,56,2,233,51,121,52,46,19,0,1,0,4,7,1,1,0,0,2,0,1,0,329,1314,2019
State,Kerala,124,12,75,29,8,0,133,21,9,5,0,1,0,0,0,4,0,0,0,0,0,5,0,1,0,20,323,2019
State,Madhya Pradesh,617,142,262,182,29,2,331,42,169,95,97,24,1,24,16,2,3,4,1,5,1,4,0,0,0,359,1795,2019
State,Maharashtra,904,195,303,190,209,7,320,27,245,148,109,39,14,19,2,3,0,0,0,5,0,0,0,0,0,307,2142,2019
State,Manipur,2,1,1,0,0,0,11,0,4,2,4,0,9,0,0,0,0,0,0,8,0,0,0,0,0,16,56,2019
State,Meghalaya,7,1,1,5,0,0,7,16,1,1,19,1,0,2,1,0,0,0,0,2,0,0,0,0,0,11,68,2019
