Si. No. (Col. 1),Category,State/UT (Col. 2),Gain - (Col. 3),Personal Vendetta or Enmity - (Col. 4),Dowry - (Col. 5),Witchcraft - (Col. 6),Child/ Human Sacrifice - (Col. 7),Communal/ Religious - (Col. 8),Casteism - (Col. 9),Class Conflict - (Col. 10),For Political Reason - (Col. 11),Honour Killing - (Col. 12),Love Affairs - (Col. 13),Illicit Relationship - (Col. 14),Extremism/ Insurgency - (Col. 15),During Dacoity/ Robbery - (Col. 16),Gang Rivalry - (Col. 17),Psychopath/Serial Killers - (Col. 18),Sale of Body Parts - (Col. 19),Disputes - Disputes (Total) - (Col. 20),Disputes - Property/ Land Dispute - (Col. 21),Disputes - Family Dispute - (Col. 22),Disputes - Petty Quarrel/ Dispute - (Col. 23),Disputes - Money Dispute - (Col. 24),Disputes - Water Dispute - (Col. 25),Disputes - Due to Accidents on Roads - (Col. 26),Blind Murder/No Clue/Motive Not Known - (Col. 27),Other Causes or Motive - (Col. 28),Total Motives of Murder - (Col. 29),Year
1,State,Andhra Pradesh,36,59,29,4,0,0,0,0,6,2,22,168,3,1,0,2,0,391,91,161,110,29,0,0,29,101,853,2020
2,State,Arunachal Pradesh,0,10,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,6,0,2,3,0,0,1,1,24,45,2020
3,State,Assam,31,187,33,0,0,0,0,0,0,0,15,16,1,1,0,2,0,345,162,97,57,21,0,8,31,469,1131,2020
4,State,Bihar,528,599,151,4,0,6,2,7,16,2,170,115,0,10,1,0,0,1274,815,277,33,107,39,3,220,45,3150,2020
5,State,Chhattisgarh,5,46,4,16,9,0,0,0,0,1,40,56,57,4,0,7,0,190,49,88,44,8,1,0,15,522,972,2020
6,State,Goa,0,10,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,15,3,2,7,3,0,0,2,1,34,2020
7,State,Gujarat,13,167,1,3,0,1,2,3,1,0,170,61,0,10,0,7,0,461,54,94,226,78,8,1,66,16,982,2020
8,State,Haryana,32,258,12,4,0,0,1,0,0,4,24,48,0,13,2,1,0,309,102,118,47,41,1,0,105,330,1143,2020
9,State,Himachal Pradesh,5,16,1,0,0,0,0,0,0,0,5,8,1,1,0,0,0,45,8,23,8,5,0,1,2,7,91,2020
10,State,Jharkhand,559,269,56,15,1,0,1,0,7,4,62,36,8,3,5,0,0,287,152,77,5,51,0,2,113,166,1592,2020
11,State,Karnataka,37,410,16,0,0,0,3,0,4,0,40,142,0,2,5,1,1,531,122,133,217,57,2,0,20,119,1331,2020
12,State,Kerala,10,168,2,0,0,0,0,0,2,1,3,8,0,0,0,0,0,97,8,56,26,7,0,0,7,8,306,2020
13,State,Madhya Pradesh,30,425,55,17,0,0,2,3,0,3,147,151,2,12,3,2,0,819,212,341,202,59,4,1,112,318,2101,2020
14,State,Maharashtra,61,236,24,3,0,0,0,0,3,0,116,183,6,0,0,0,0,954,184,322,257,180,11,0,79,498,2163,2020
15,State,Manipur,0,6,1,0,0,0,0,0,0,0,1,1,6,1,0,0,0,20,2,4,1,0,0,13,4,6,46,2020
16,State,Meghalaya,6,8,0,2,0,1,0,0,1,0,2,0,0,4,0,0,0,6,0,3,1,0,0,2,49,0,79,2020
17,State,Mizoram,0,3,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,9,1,0,8,0,0,0,1,11,28,2020
18,State,Nagaland,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,10,9,25,2020
19,State,Odisha,180,129,284,14,1,0,0,0,1,0,59,0,1,0,0,0,0,486,113,274,97,1,1,0,0,315,1470,2020
20,State,Punjab,16,58,6,0,0,0,0,2,1,4,15,77,1,18,0,1,0,343,60,133,118,28,4,0,78,137,757,2020
21,State,Rajasthan,22,68,67,1,0,0,0,1,0,0,66,42,0,6,2,0,0,443,116,148,108,60,11,0,44,957,1719,2020
22,State,Sikkim,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,0,0,3,2,11,2020
23,State,Tamil Nadu,64,276,5,0,0,1,3,1,5,0,54,195,1,0,0,4,0,953,145,359,379,69,1,0,24,75,1661,2020
24,State,Telangana,45,41,46,1,0,0,1,0,2,2,12,102,2,0,0,0,0,416,93,199,98,24,1,1,30,102,802,2020
25,State,Tripura,4,41,21,0,0,0,0,0,0,0,3,4,0,0,0,0,0,31,5,21,3,2,0,0,8,2,114,2020
26,State,Uttar Pradesh,89,308,52,4,0,0,9,0,1,0,351,111,0,4,46,3,0,1603,642,344,449,128,32,8,108,1090,3779,2020
27,State,Uttarakhand,29,6,0,0,0,0,0,2,1,0,15,8,0,0,0,0,0,15,7,3,2,3,0,0,69,15,160,2020
28,State,West Bengal,58,114,303,0,0,0,0,0,3,0,16,19,0,3,0,0,0,164,31,125,0,8,0,0,7,1261,1948,2020
Total State(s),Total State(s),Total State(s),1863,3919,1169,88,11,9,24,19,54,23,1418,1560,89,93,64,30,1,10216,3177,3404,2509,969,116,41,1237,6606,28493,2020
29,Union Territories,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,1,1,1,0,0,0,0,5,2020
30,Union Territories,Chandigarh,0,7,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,6,0,5,1,0,0,0,5,0,22,2020
31,Union Territories,D & N Haveli and Daman & Diu,0,1,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0,6,2,0,4,0,0,0,0,0,13,2020
32,Union Territories,Delhi,11,67,1,0,0,53,3,1,0,0,17,14,0,9,2,0,0,106,17,32,36,18,2,1,10,178,472,2020
33,Union Territories,Jammu & Kashmir,2,19,1,0,1,0,0,0,1,1,2,8,41,1,0,0,0,52,27,16,5,4,0,0,9,11,149,2020
34,Union Territories,Ladakh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
35,Union Territories,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
36,Union Territories,Puducherry,0,21,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,14,0,5,9,0,0,0,0,2,39,2020
Total UT(s),Total UT(s),Total UT(s),13,115,2,0,1,53,3,1,1,2,25,28,41,10,2,0,0,188,47,59,56,23,2,1,24,191,700,2020
Total All India,Total All India,Total All India,1876,4034,1171,88,12,62,27,20,55,25,1443,1588,130,103,66,30,1,10404,3224,3463,2565,992,118,42,1261,6797,29193,2020
