Sl. No. Col. (1),State/UT Col. (2),Gain - Col. (3),Personal Vendetta or Enmity - Col. (4),Dowry - Col. (5),Witchcraft - Col. (6),Child/ Human Sacrifice - Col. (7),Communal/ Religious - Col. (8),Casteism - Col. (9),Class Conflict - Col. (10),For Political Reason - Col. (11),Honour Killing - Col. (12),Love Affairs - Col. (13),Illicit Relationship - Col. (14),Extremism/ Insurgency - Col. (15),During Dacoity/ Robbery - Col. (16),Gang Rivalry - Col. (17),Psychopath/Serial Killers - Col. (18),Sale of Body Parts - Col. (19),Disputes - Disputes (Total) - Col. (20),Disputes - Property/ Land Dispute - Col. (21),Disputes - Family Dispute - Col. (22),Disputes - Petty Quarrel/ Dispute - Col. (23),Disputes - Money Dispute - Col. (24),Disputes - Water Dispute - Col. (25),Disputes - Due to Accidents on Roads - Col. (26),Blind Murder/No Clue/Motive Not Known - Col. (27),Other Causes or Motive - Col. (28),Total Motives of Murder - Col. (29),Year
1,Andhra Pradesh,45,71,25,6,0,0,0,1,1,1,11,186,3,1,0,0,0,431,77,182,130,40,2,0,26,148,956,2021
2,Arunachal Pradesh,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0,8,3,0,0,0,1,33,49,2021
3,Assam,42,311,9,0,0,0,0,6,0,0,26,9,4,0,1,0,1,227,105,82,24,15,0,1,20,536,1192,2021
4,Bihar,452,591,5,4,0,2,4,60,8,0,174,106,1,7,5,0,0,1081,635,265,26,118,29,8,280,19,2799,2021
5,Chhattisgarh,8,57,7,20,1,0,0,0,0,0,51,67,39,1,0,3,0,222,68,93,45,15,1,0,80,451,1007,2021
6,Goa,3,5,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,9,0,1,6,2,0,0,3,0,26,2021
7,Gujarat,17,187,1,2,0,1,2,2,3,0,179,54,0,16,1,1,0,473,39,93,245,80,7,9,49,22,1010,2021
8,Haryana,27,217,13,0,0,1,1,0,0,4,37,23,0,4,1,0,0,248,58,116,35,33,5,1,66,470,1112,2021
9,Himachal Pradesh,4,16,0,0,1,0,0,1,0,0,4,10,0,0,0,0,0,38,8,16,12,2,0,0,9,3,86,2021
10,Jharkhand,480,220,42,3,0,0,0,5,21,8,57,42,2,0,0,0,0,317,168,103,3,41,1,1,83,293,1573,2021
