,Sl. No.,State/UT,2015,2016,2017,2018,2019,2020,2021,Region,Region Pop(in_bill)
0,1,Andhra Pradesh,1144,1123,1054,935,870,853,956,S,1.768
1,2,Arunachal Pradesh,61,46,79,62,60,45,49,NE,0.31
2,3,Assam,1352,1149,1144,1241,1235,1131,1192,NE,0.31
3,4,Bihar,3183,2581,2803,2934,3138,3150,2799,E,1.596
4,5,Chhattisgarh,959,957,919,917,913,972,1007,C,2.154
5,6,Goa,35,30,31,29,33,34,26,W,1.209
6,7,Gujarat,1228,1120,970,1072,993,982,1010,W,1.209
7,8,Haryana,1024,1057,1046,1104,1137,1143,1112,N,1.024
8,9,Himachal Pradesh,109,101,99,99,70,91,86,N,1.024
9,10,Jharkhand,1551,1514,1487,1712,1626,1592,1573,E,1.596
10,11,Karnataka,1664,1573,1384,1334,1314,1331,1357,S,1.768
11,12,Kerala,355,305,305,292,323,306,337,S,1.768
12,13,Madhya Pradesh,2381,2004,1908,1879,1795,2101,2034,C,2.154
13,14,Maharashtra,2599,2299,2103,2199,2142,2163,2330,W,1.209
14,15,Manipur,102,78,63,52,56,46,46,NE,0.31
15,16,Meghalaya,152,108,87,95,68,79,80,NE,0.31
16,17,Mizoram,50,29,21,27,22,28,24,NE,0.31
17,18,Nagaland,58,36,36,31,25,25,27,NE,0.31
18,19,Odisha,1490,1328,1267,1378,1356,1470,1394,E,1.596
19,20,Punjab,743,771,659,684,679,757,723,N,1.024
20,21,Rajasthan,1589,1551,1473,1508,1659,1719,1786,N,1.024
21,22,Sikkim,17,17,13,12,17,11,14,NE,0.31
22,23,Tamil Nadu,1835,1603,1560,1569,1745,1661,1686,S,1.768
23,24,Telangana,1209,1046,805,786,839,802,1026,S,1.768
24,25,Tripura,150,145,124,137,144,114,122,NE,0.31
25,26,Uttar Pradesh,4860,4889,4324,4018,3806,3779,3717,C,2.154
26,27,Uttarakhand,192,194,181,211,199,160,208,C,2.154
27,28,West Bengal,2133,2044,2001,1933,1930,1948,1884,E,1.596
29,29,Andaman and Nicobar Islands,19,14,9,11,13,5,16,S,1.768
30,30,Chandigarh,24,26,25,20,26,22,17,N,1.024
31,31,Dadra and Nagar Haveli and Daman and Diu,10,9,9,12,13,13,14,W,1.209
32,32,Delhi,598,528,487,513,521,472,459,N,1.024
33,33,Jammu and Kashmir,169,142,152,181,119,149,136,N,1.024
34,34,Ladakh,0,,,,,0,5,N,1.024
35,35,Lakshadweep,0,0,0,1,0,0,1,S,1.768
36,36,Puducherry,33,33,25,29,29,39,19,S,1.768
