Anova: Two-Factor Without Replication,,,,,,
,,,,,,
SUMMARY,Count,Sum,Average,Variance,,
C,7,23892.12887,3413.161267,84013.85087,,
E,7,34567.85658,4938.265226,43642.38943,,
N,7,28670.46046,4095.780066,18717.37941,,
NE,7,36852.05421,5264.579173,226853.5452,,
S,7,21252.27602,3036.039431,70128.15014,,
W,7,19439.40616,2777.058023,45097.80262,,
,,,,,,
2015,6,26282.87744,4380.479573,1328161.722,,
2016,6,23749.29749,3958.216248,765838.2545,,
2017,6,22515.19258,3752.532097,975970.7526,,
2018,6,23136.60961,3856.101601,1242008.24,,
2019,6,23044.13655,3840.689426,1270801.325,,
2020,6,22845.58145,3807.596908,1089352.531,,
2021,6,23100.48718,3850.081196,899020.1062,,
,,,,,,
,,,,,,
ANOVA,,,,,,
Source of Variation,SS,df,MS,F,P-value,F crit
Rows,36541680.23,5,7308336.046,166.8462678,6.00E-21,2.533554548
Columns,1616634.284,6,269439.0473,6.151181219,0.000272577,2.420523189
Error,1314084.422,30,43802.81407,,,
,,,,,,
Total,39472398.94,41,,,,
