S. No.,Category,State/UT,Personal Vendetta or Enmity,Property Dispute,Gain,Illicit Relationship,Love Affairs,Dowry,Water or Money Dispute,Road Rage,Extremism / Naxalism,Casteism,Robbery/ Extortion,Rape,Class Conflict,Witch Craft,Political Reasons,Lunacy,Honour Killing,Communalism,Child/ Human Sacrifice,Other Causes*,Year,Greed,Loath,Unintentional,Love/Lust
1,State,Andhra Pradesh,85,96,47,138,9,49,21,0,3,1,0,5,0,8,0,0,2,0,0,659,2016,213,89,0,154
2,State,Arunachal Pradesh,2,0,1,3,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,34,2016,1,3,1,7
3,State,Assam,281,342,188,36,27,13,8,0,1,0,6,6,27,1,0,1,0,0,1,211,2016,557,309,1,70
4,State,Bihar,524,946,590,195,187,44,2,0,0,3,2,5,9,0,26,1,3,0,0,44,2016,1610,536,1,390
5,State,Chhattisgarh,60,75,17,72,52,14,9,2,73,0,1,6,2,17,4,4,1,0,2,546,2016,120,137,4,133
6,State,Goa,11,2,5,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,2016,7,11,1,6
7,State,Gujarat,245,81,48,55,133,6,45,3,1,1,20,4,3,14,3,7,10,0,0,441,2016,203,253,7,202
8,State,Haryana,253,108,51,40,19,20,19,0,0,4,14,8,1,2,0,0,2,0,0,516,2016,212,258,0,69
9,State,Himachal Pradesh,13,4,2,8,4,0,5,0,0,0,0,1,0,0,0,0,0,0,0,64,2016,11,13,0,13
10,State,Jammu & Kashmir,8,11,0,3,1,0,1,0,34,0,0,1,0,0,0,0,0,0,1,82,2016,12,42,0,6
11,State,Jharkhand,429,293,509,35,46,37,7,0,43,4,6,4,7,27,2,5,0,6,0,54,2016,854,489,5,85
12,State,Karnataka,266,119,65,70,56,40,19,1,0,5,0,14,1,0,10,0,0,3,3,901,2016,253,276,0,143
13,State,Kerala,130,14,15,15,2,0,1,1,0,0,0,2,0,0,15,0,0,1,0,109,2016,45,132,0,19
14,State,Madhya Pradesh,411,248,70,168,104,40,22,1,0,4,10,18,4,19,8,10,18,1,2,846,2016,398,421,10,310
15,State,Maharashtra,199,117,73,184,81,75,39,13,74,4,34,19,1,2,6,4,8,5,0,1361,2016,344,296,4,292
16,State,Manipur,14,1,0,2,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,55,2016,5,16,0,2
17,State,Meghalaya,27,0,20,1,1,0,0,0,0,0,2,2,0,2,0,0,0,0,0,53,2016,22,27,0,4
18,State,Mizoram,1,0,0,2,2,0,0,0,0,0,21,1,0,0,0,0,0,0,0,2,2016,21,1,0,5
19,State,Nagaland,10,6,7,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,11,2016,14,10,1,0
20,State,Odisha,142,66,38,0,58,310,0,0,16,0,0,2,0,24,3,7,0,0,2,660,2016,417,158,7,62
21,State,Punjab,78,64,12,86,7,7,12,0,2,0,1,6,0,0,0,0,8,0,0,488,2016,96,80,0,107
22,State,Rajasthan,11,22,34,8,38,49,0,0,0,0,1,1,16,1,0,1,0,3,0,1366,2016,106,30,1,47
23,State,Sikkim,3,1,7,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,2016,9,3,1,3
24,State,Tamil Nadu,484,110,92,123,180,8,74,0,0,14,0,4,1,0,3,0,1,0,0,509,2016,287,499,0,308
25,State,Telangana,167,33,77,104,13,90,24,0,0,0,1,4,0,11,3,6,0,0,0,513,2016,228,167,6,121
26,State,Tripura,7,3,4,5,4,28,0,0,0,0,0,1,0,0,0,0,0,0,0,93,2016,35,7,0,10
27,State,Uttar Pradesh,1010,536,172,284,398,145,534,489,0,271,123,54,60,3,29,27,16,1,0,737,2016,1539,1831,27,752
28,State,Uttarakhand,2,28,53,0,27,0,0,0,0,1,0,0,0,0,0,0,0,0,0,83,2016,81,3,0,27
29,State,West Bengal,244,60,59,5,14,375,0,0,79,0,2,11,0,3,1,0,0,0,0,1191,2016,497,323,0,30
30,UT,A & N Islands,1,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,2016,2,1,0,4
31,UT,Chandigarh,0,0,0,2,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,19,2016,3,0,0,4
32,UT,D&N Haveli,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2016,3,0,0,1
33,UT,Daman & Diu,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2016,0,1,0,0
34,UT,Delhi UT,50,37,8,19,16,4,4,1,0,0,6,3,2,0,0,0,2,0,1,375,2016,59,53,0,41
35,UT,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,0,0,0,0
36,UT,Puducherry,10,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2016,3,10,0,2
