S. No,Category,State/UT,Disputes - Property/Land Dispute,Disputes - Family Dispute,Disputes - Petty Quarrel/Dispute,Disputes - Money Dispute,Disputes - Water Dispute,Personal Vendetta or Enmity,Gain,Blind Murder/No Clue/Motive Not Known,Illicit Relationship,Love Affairs,Dowry,Road Rage,Extremism/Naxalism/Insurgency,Class Conflict,During Dacoity/Robbery,For Political Reason,Honour Killing,Gang Rivalry,Witchcraft,Casteism,Psychopath/Serial Killers,Child/Human Sacrifice,Communal/Religious,Sale of Body Parts,Other Causes or Motive,Year,Love/Lust,Loath,Unintentional,Greed
1,State,Andhra Pradesh,91,152,94,37,0,86,52,55,179,15,46,0,6,0,2,2,1,0,2,4,0,0,0,0,230,2017,195,342,55,230
2,State,Arunachal Pradesh,0,4,2,0,0,3,1,2,1,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,59,2017,3,14,2,1
3,State,Assam,183,55,12,27,0,331,94,61,15,26,24,0,0,0,1,0,0,3,3,0,0,1,0,0,308,2017,42,398,61,332
4,State,Bihar,939,15,0,35,4,585,673,48,245,173,8,0,1,62,0,12,0,0,1,0,0,0,0,0,2,2017,418,667,48,1667
5,State,Chhattisgarh,44,78,39,9,1,66,36,30,60,36,6,0,66,0,4,0,0,0,6,0,3,0,0,0,435,2017,96,253,30,99
6,State,Goa,1,1,8,2,0,7,1,8,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2017,1,17,8,4
7,State,Gujarat,51,89,211,63,5,175,25,110,46,126,6,6,0,2,14,4,0,0,6,3,4,0,1,1,22,2017,172,496,110,164
8,State,Haryana,90,73,4,33,0,277,45,123,41,14,14,0,0,0,9,0,3,0,0,1,0,5,0,0,314,2017,63,355,123,191
9,State,Himachal Pradesh,16,12,10,2,1,13,13,12,9,7,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,2017,19,36,12,32
10,State,Jammu & Kashmir,12,12,2,0,1,13,1,8,2,2,0,0,64,0,1,0,3,0,0,0,0,0,0,0,31,2017,7,92,8,14
11,State,Jharkhand,133,42,25,48,0,217,316,55,33,60,75,4,23,16,9,42,41,20,19,1,0,2,2,0,304,2017,136,330,55,643
12,State,Karnataka,188,138,91,38,2,323,49,35,119,48,35,0,0,17,5,9,0,7,3,8,1,5,3,0,260,2017,172,583,35,331
13,State,Kerala,11,64,25,9,0,107,16,12,17,4,0,0,0,0,0,5,2,0,0,0,3,0,2,0,28,2017,23,201,12,41
14,State,Madhya Pradesh,147,193,225,50,14,386,63,71,168,104,38,3,0,9,10,1,0,2,13,2,2,0,0,0,407,2017,272,834,71,311
15,State,Maharashtra,166,334,157,153,14,183,59,125,222,123,42,3,15,10,20,4,16,1,5,2,6,5,0,1,437,2017,366,724,125,446
16,State,Manipur,0,1,0,0,0,9,0,3,4,1,0,4,10,0,0,0,0,0,0,0,0,0,0,0,31,2017,5,24,3,0
17,State,Meghalaya,0,2,6,0,0,4,8,53,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,10,2017,1,13,53,10
18,State,Mizoram,0,1,6,0,0,1,0,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,2017,4,8,2,0
