S. No,Category,State/UT,Disputes - Property/Land Dispute,Disputes - Family Dispute,Disputes - Petty Quarrel/Dispute,Disputes - Money Dispute,Disputes - Water Dispute,Personal Vendetta or Enmity,Gain,Illicit Relationship,Love Affairs,Blind Murder/No Clue/Motive Not Known,Dowry,Extremism/Naxalism/Insurgency,During Dacoity/Robbery,Class Conflict,Witchcraft,Road Rage,For Political Reason,Gang Rivalry,Casteism,Honour Killing,Communal/Religious,Psychopath/Serial Killers,Child/ Human Sacrifice,Sale of Body Parts,Other Causes or Motive,Year,Love/Lust,Loath,Unintentional,Greed
1,State,Andhra Pradesh,65,186,109,36,0,78,46,178,21,24,24,1,0,0,9,0,0,1,0,0,0,0,0,0,157,2018,45,374,178,181
2,State,Arunachal Pradesh,0,2,1,0,0,2,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,50,2018,6,6,0,0
3,State,Assam,139,77,4,8,0,307,35,7,22,63,19,0,0,15,0,1,0,0,0,1,0,0,0,0,543,2018,85,404,7,202
4,State,Bihar,1016,132,11,71,15,595,462,112,269,158,37,1,3,4,0,10,9,0,2,0,12,0,0,0,15,2018,436,773,112,1596
5,State,Chhattisgarh,54,43,48,16,0,78,18,76,48,35,2,96,1,0,8,0,0,0,0,0,0,0,0,0,394,2018,83,266,76,98
6,State,Goa,2,0,13,2,0,5,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2018,1,18,2,6
7,State,Gujarat,60,96,211,69,18,182,33,71,158,98,6,0,27,1,4,4,2,0,2,1,1,1,0,0,27,2018,259,537,71,176
8,State,Haryana,136,126,28,48,0,270,70,35,21,87,20,2,7,1,3,0,1,1,2,0,0,1,0,0,245,2018,110,434,35,278
9,State,Himachal Pradesh,10,4,3,1,0,12,4,8,8,3,0,0,0,0,0,0,1,0,0,6,0,0,0,0,39,2018,12,25,8,15
10,State,Jammu & Kashmir,11,9,6,0,0,18,0,6,3,11,0,59,2,0,0,0,0,0,0,2,0,0,1,0,53,2018,14,97,6,11
11,State,Jharkhand,140,125,29,58,10,178,875,50,59,17,61,2,1,12,18,23,1,0,0,9,0,0,0,0,44,2018,77,366,50,1175
12,State,Karnataka,170,132,116,59,4,264,54,115,60,73,18,0,2,4,0,0,6,5,9,0,3,1,1,0,238,2018,140,526,115,306
13,State,Kerala,11,60,30,7,0,126,17,8,5,8,0,0,0,0,0,0,4,0,0,1,0,0,0,0,15,2018,17,217,8,35
14,State,Madhya Pradesh,112,194,169,35,2,351,31,169,116,109,29,0,15,15,10,2,3,6,0,0,0,1,2,0,508,2018,229,748,169,225
15,State,Maharashtra,177,327,302,178,14,243,43,256,125,124,36,7,7,32,0,5,7,3,4,3,0,0,0,0,306,2018,256,935,256,442
16,State,Manipur,1,2,0,0,0,6,0,0,1,6,0,15,1,0,0,8,1,0,0,0,0,0,0,0,11,2018,8,24,0,9
