Category,State/UT,Disputes - Property/Land Dispute,Disputes - Family Dispute,Disputes - Petty Quarrel/Dispute,Disputes - Money Dispute,Disputes - Water Dispute,Personal Vendetta or Enmity,Gain,Illicit Relation-ship,Love Affairs,Blind Murder/No Clue/ Motive Not Known,Dowry,Extremism/ Naxalism/ Insurgency,During Dacoity/Robbery,Witch- craft,For Political Reason,Casteism,Gang Rivalry,Class Conflict,Road Rage,Honour Killing,Psychopath/ Serial Killers,Communal / Religious,Child/ Human Sacrifice,Sale of Body parts,Other Causes or Motive,Year,Love/Lust,Loath,Unintentional,Greed
State,Andhra Pradesh,77,154,102,35,1,56,46,164,23,24,14,3,0,2,5,6,1,0,0,1,0,4,1,0,151,2019,39,250,23,480
State,Arunachal Pradesh,0,0,0,0,0,2,0,1,1,9,0,0,1,0,3,0,0,0,0,1,0,0,0,0,42,2019,9,6,1,43
State,Assam,426,95,22,19,0,300,151,19,25,12,26,0,0,2,0,0,0,8,0,0,2,1,1,0,126,2019,47,497,25,240
State,Bihar,782,235,11,143,44,547,519,101,270,240,84,4,3,15,6,4,1,0,3,0,0,7,4,0,115,2019,328,1251,270,507
State,Chhattisgarh,50,126,25,10,0,35,10,45,35,39,10,50,2,22,0,1,2,0,3,0,1,0,0,1,446,2019,49,106,35,673
State,Goa,3,4,9,0,0,10,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2019,2,21,0,7
State,Gujarat,41,106,228,80,4,152,16,49,147,94,3,0,23,3,1,4,0,7,1,5,2,1,0,0,26,2019,104,506,147,190
State,Haryana,131,128,38,30,0,273,55,36,48,54,24,0,4,0,1,3,1,0,0,3,0,0,0,0,308,2019,78,401,48,476
State,Himachal Pradesh,2,4,5,2,0,9,6,9,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,27,2019,5,22,1,40
State,Jammu & Kashmir,8,11,3,0,0,13,1,3,2,33,0,32,0,0,1,0,0,0,0,1,0,0,0,0,11,2019,33,18,2,57
State,Jharkhand,120,66,0,37,3,202,871,23,52,81,35,12,0,15,6,0,0,0,1,0,0,0,0,0,102,2019,116,1131,52,207
State,Karnataka,127,144,117,56,2,233,51,121,52,46,19,0,1,0,4,7,1,1,0,0,2,0,1,0,329,2019,67,464,52,604
State,Kerala,12,75,29,8,0,133,21,9,5,0,1,0,0,0,4,0,0,0,0,0,5,0,1,0,20,2019,2,200,5,104
State,Madhya Pradesh,142,262,182,29,2,331,42,169,95,97,24,1,24,16,2,3,4,1,5,1,4,0,0,0,359,2019,122,630,95,805
State,Maharashtra,195,303,190,209,7,320,27,245,148,109,39,14,19,2,3,0,0,0,5,0,0,0,0,0,307,2019,148,770,148,881
State,Manipur,1,1,0,0,0,11,0,4,2,4,0,9,0,0,0,0,0,0,8,0,0,0,0,0,16,2019,4,11,2,38
State,Meghalaya,1,1,5,0,0,7,16,1,1,19,1,0,2,1,0,0,0,0,2,0,0,0,0,0,11,2019,20,31,1,15
