Sl. No. Col. (1),State/UT Col. (2),Gain - Col. (3),Personal Vendetta or Enmity - Col. (4),Dowry - Col. (5),Witchcraft - Col. (6),Child/ Human Sacrifice - Col. (7),Communal/ Religious - Col. (8),Casteism - Col. (9),Class Conflict - Col. (10),For Political Reason - Col. (11),Honour Killing - Col. (12),Love Affairs - Col. (13),Illicit Relationship - Col. (14),Extremism/ Insurgency - Col. (15),During Dacoity/ Robbery - Col. (16),Gang Rivalry - Col. (17),Psychopath/Serial Killers - Col. (18),Sale of Body Parts - Col. (19),Disputes - Property/ Land Dispute - Col. (21),Disputes - Family Dispute - Col. (22),Disputes - Petty Quarrel/ Dispute - Col. (23),Disputes - Money Dispute - Col. (24),Disputes - Water Dispute - Col. (25),Disputes - Due to Accidents on Roads - Col. (26),Blind Murder/No Clue/Motive Not Known - Col. (27),Other Causes or Motive - Col. (28),Year,Love/Lust,Loath,Unintentional,Greed
1,Andhra Pradesh,45,71,25,6,0,0,0,1,1,1,11,186,3,1,0,0,0,77,182,130,40,2,0,26,148,2021,198,389,26,144
2,Arunachal Pradesh,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,3,0,0,0,1,33,2021,1,14,1,0
3,Assam,42,311,9,0,0,0,0,6,0,0,26,9,4,0,1,0,1,105,82,24,15,0,1,20,536,2021,35,428,20,131
4,Bihar,452,591,5,4,0,2,4,60,8,0,174,106,1,7,5,0,0,635,265,26,118,29,8,280,19,2021,280,986,280,778
5,Chhattisgarh,8,57,7,20,1,0,0,0,0,0,51,67,39,1,0,3,0,68,93,45,15,1,0,80,451,2021,118,238,80,91
6,Goa,3,5,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,1,6,2,0,0,3,0,2021,6,12,3,2
7,Gujarat,17,187,1,2,0,1,2,2,3,0,179,54,0,16,1,1,0,39,93,245,80,7,9,49,22,2021,233,547,49,140
8,Haryana,27,217,13,0,0,1,1,0,0,4,37,23,0,4,1,0,0,58,116,35,33,5,1,66,470,2021,64,376,66,109
9,Himachal Pradesh,4,16,0,0,1,0,0,1,0,0,4,10,0,0,0,0,0,8,16,12,2,0,0,9,3,2021,14,45,9,10
10,Jharkhand,480,220,42,3,0,0,0,5,21,8,57,42,2,0,0,0,0,168,103,3,41,1,1,83,293,2021,107,335,83,272
11,Karnataka,49,341,18,0,0,0,0,1,4,1,51,152,0,0,5,0,0,126,151,217,36,1,0,14,190,2021,204,711,14,189
12,Kerala,18,122,1,0,2,0,0,0,6,0,9,8,0,1,3,0,0,14,80,39,6,0,0,9,19,2021,17,241,9,31
13,Madhya Pradesh,23,372,42,18,0,3,9,5,6,6,162,161,0,12,2,4,0,169,249,251,55,3,4,80,398,2021,329,900,80,286
14,Maharashtra,57,230,16,0,0,0,0,0,5,0,119,232,0,31,0,0,0,172,328,315,202,9,1,76,537,2021,351,883,76,426
15,Manipur,0,14,0,0,0,0,0,0,1,0,1,0,3,0,3,0,0,0,2,1,0,0,0,13,8,2021,1,20,13,4
16,Meghalaya,5,4,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,1,3,5,10,0,7,37,3,2021,5,19,37,11
17,Mizoram,1,5,0,0,0,0,0,0,0,0,4,4,0,1,0,1,0,0,0,3,0,0,0,5,0,2021,8,9,5,1
18,Nagaland,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,14,10,2021,0,3,14,0
19,Odisha,33,117,275,2,0,1,6,0,2,0,67,0,1,1,0,0,0,111,535,26,12,0,0,0,205,2021,67,686,0,401
20,Punjab,15,67,2,0,0,0,0,0,1,8,18,67,1,17,2,0,0,66,92,182,51,1,1,109,23,2021,93,344,109,139
21,Rajasthan,22,83,71,1,0,0,1,0,0,0,67,58,0,19,0,0,0,151,115,149,43,6,6,83,911,2021,125,360,83,284
22,Sikkim,1,1,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,1,1,0,0,0,1,3,2021,6,3,1,0
23,Tamil Nadu,89,221,4,0,0,1,9,0,3,0,104,140,0,1,0,2,0,120,388,397,62,0,0,23,122,2021,244,1018,23,190
24,Telangana,95,52,41,11,1,0,0,0,0,0,23,115,0,2,0,0,0,107,248,82,51,0,0,6,192,2021,138,382,6,201
25,Tripura,2,49,12,0,0,0,0,0,1,0,1,3,1,0,0,0,0,6,26,3,3,0,0,4,11,2021,4,79,4,22
26,Uttar Pradesh,80,192,119,1,0,0,1,18,9,2,334,72,0,16,42,1,0,227,257,308,41,0,2,71,1924,2021,408,779,71,454
27,Uttarakhand,57,3,4,0,0,0,0,0,0,0,9,1,0,0,0,0,0,7,8,2,6,0,0,72,39,2021,10,13,72,17
28,West Bengal,51,108,245,0,0,0,0,0,7,0,18,20,0,7,0,0,0,16,72,1,17,0,2,28,1292,2021,38,183,28,292
29,Andaman and Nicobar Islands,1,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,5,0,0,0,0,1,2021,3,11,0,0
30,Chandigarh,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,3,0,4,1,0,4,2,2021,1,4,4,6
31,Dadra and Nagar Haveli and Daman and Diu,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,1,1,2021,0,9,1,3
32,Delhi,14,90,0,0,0,0,0,0,0,0,23,12,0,20,0,0,0,20,24,82,52,1,0,4,117,2021,35,197,4,92
33,Jammu and Kashmir,0,13,0,0,1,1,0,0,2,1,10,3,30,0,0,0,0,15,18,4,0,0,0,25,13,2021,14,66,25,17
34,Ladakh,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2021,0,0,4,0
