,Sl.No.,State/UT,Literacy %,Unemployment,Sex Ratio,Greed,Loath,Love,Year,Region,Urbanization,NSDP per capita,Population Density,Homeless prop,Alcohol %,Below poverty line,Total Murders
0,1,Andhra Pradesh,70.0,4.7,1001.786755,120.47511312217196,50.33936651583711,87.10407239819004,2016.0,S,0.32672306737038187,1.826199161751009,0.3162338618624515,1.188334368208631,46.40598028659652,46.603567999999996,257.9185520361991
1,2,Assam,79.0,6.9,1040.271327,1796.774193548387,996.7741935483872,225.80645161290323,2016.0,NE,0.1478120226435439,1.6046664869560008,0.4256482827201101,0.38694701530535835,48.420070685677,99.861653,3019.3548387096776
2,3,Bihar,68.5,7.2,1086.736819,1008.7719298245612,335.83959899749374,244.36090225563908,2016.0,E,0.11761489389402421,0.2209347741179534,1.2235697673183734,0.3956429284381374,40.752562600851874,351.23518,1588.9724310776942
3,4,Chattisgarh,75.0,2.9,1006.931408,55.71030640668524,63.60259981429898,61.7455896007428,2016.0,C,0.25064757519067493,2.4154194848179595,0.20560540272651287,0.8711325370556915,36.14775507265368,102.16577,181.05849582172704
4,5,Gujarat,79.0,3.3,1096.833908,167.90736145574854,209.26385442514476,167.08023159636062,2016.0,W,0.4550975676580718,1.9747633109074858,0.3351528384279476,2.1965052208590823,20.798578343669174,100.8377,544.2514474772539
5,6,Haryana,77.0,8.1,1132.450331,207.03125,251.953125,67.3828125,2016.0,N,0.38289036544850497,5.426079734219269,0.6263457884737176,1.873140257113968,31.6080745335306,28.306572,526.3671875
6,7,Jharkhand,71.5,5.4,1052.461066,483.0316742081448,276.58371040723983,48.07692307692307,2016.0,E,0.2505607709562183,1.35210877571931,0.4530070000250897,0.6477527623161917,39.354307552453236,122.02269,807.6923076923077
7,8,Karnataka,77.5,4.0,1028.733103,143.0995475113122,156.10859728506787,80.88235294117646,2016.0,S,0.4134099854340348,2.032819908885239,0.3364808567659588,1.1890631295131249,33.119806615439245,127.94187,380.0904977375566
8,9,Kerala,94.0,10.2,922.8850205,20.891364902506965,61.281337047353766,8.82079851439183,2016.0,S,0.6094853683148335,3.7264235260198935,0.8924941461029772,0.3417327374945942,22.55031858141203,23.888278,90.99350046425256
9,10,Madhya Pradesh,73.5,3.4,1069.583333,329.1976840363937,348.22167080231594,256.4102564102564,2016.0,C,0.28280400644252063,0.6641584457418965,0.2578208892277247,1.8425986510972419,40.631507952572015,229.98595,933.8296112489661
10,11,Maharashtra,83.0,4.3,1080.452359,1109.6774193548388,954.8387096774194,941.9354838709678,2016.0,W,0.4677409898402754,1.119713886073723,0.388001156922197,1.7665022237484609,33.8182171476487,195.43505,3006.4516129032263
11,12,Odisha,78.0,6.6,1017.4485,407.2265625,154.296875,60.546875,2016.0,E,0.17675692809273683,1.5037130954537221,0.2836609786329452,0.7711691722514037,43.2870268063844,136.91922,622.0703125
12,13,Punjab,77.0,7.3,1112.096949,93.75,78.125,104.4921875,2016.0,N,0.3950478142076503,3.6150273224043716,0.5813907311067869,1.5954234972677597,46.31676229536564,22.894461,276.3671875
13,14,Rajasthan,70.5,5.0,1067.300254,341.93548387096774,96.7741935483871,151.61290322580646,2016.0,N,0.2569492703266157,0.953172609183728,0.21864252759036815,2.426150638798311,26.2302186344142,100.88246000000001,590.3225806451613
14,15,Tamil Nadu,80.5,6.4,1000.908994,162.33031674208144,282.23981900452486,174.20814479638008,2016.0,S,0.5084310948397959,1.6462146922850807,0.5754509526518937,0.6804868923866279,32.20790465515795,81.77045000000001,618.7782805429864
15,16,Telangana,80.0,7.1,1012.651961,735.483870967742,538.7096774193549,390.3225806451613,2016.0,S,0.42923909478517547,3.3210888816005246,0.32645413421130115,2.2949874275718813,37.05343281927719,31.564134,1664.516129032258
16,17,Uttar Pradesh,70.5,5.3,1091.81008,714.4846796657382,850.0464252553389,349.1179201485608,2016.0,C,0.23099313181768097,0.18752984170125242,0.9040709257537521,1.5110230653395527,33.26346641182644,588.1186,1913.649025069638
17,18,West Bengal,78.5,4.2,1047.478063,281.10859728506784,182.69230769230768,16.968325791855204,2016.0,E,0.34138418819091526,0.6351757740870749,1.0752997115557958,1.404516162833342,36.55376748595718,182.68674,480.7692307692307
18,19,Arunachal Pradesh,71.5,6.7,1063.291139,3.2258064516129035,9.67741935483871,22.580645161290324,2016.0,NE,0.2419904567143831,62.243353783231086,0.01751788209163751,1.1138377641445125,50.301840490238256,4.796543,35.483870967741936
19,20,Delhi,84.0,8.9,1146.768147,57.6171875,51.7578125,40.0390625,2016.0,N,0.9870885808022013,12.924912689173457,12.743088334457182,2.491057254735951,38.12812138443527,16.648402,149.4140625
20,21,Goa,88.5,10.8,1022.666667,5.789909015715467,9.098428453267164,4.962779156327543,2016.0,W,0.6868820039551747,201.63150955833882,0.4097784981091302,2.011206328279499,43.924258407280114,0.746616,19.851116625310173
21,22,Himachal Pradesh,86.5,4.7,1029.087828,10.7421875,12.6953125,12.6953125,2016.0,N,0.10160055671537926,17.00876826722338,0.12905717313599052,0.5703549060542797,22.78725121542644,5.535432999999999,36.1328125
22,23,Jammu & Kashmir,70.0,5.6,1110.260586,7.518796992481203,26.31578947368421,3.7593984962406015,2016.0,N,0.28895577680018525,4.81554372154048,0.07944693114231406,1.4700162074554295,44.29441228667292,12.982634000000001,37.59398496240601
23,24,Manipur,80.5,9.7,1012.632979,16.129032258064516,51.612903225806456,6.451612903225807,2016.0,NE,0.3072348860257681,15.576808721506442,0.13557576029023155,1.0611166171126527,30.75900231380438,10.562470999999999,74.19354838709678
24,25,Meghalaya,80.5,2.2,1008.301405,70.96774193548387,87.09677419354838,12.903225806451614,2016.0,NE,0.20349761526232116,18.363116057233704,0.14022025056846046,0.3945945945945946,33.78575516756162,3.5228,170.96774193548387
25,26,Mizoram,91.0,7.2,1022.608696,67.74193548387098,3.2258064516129035,16.129032258064516,2016.0,NE,0.5348237317282889,85.201203783319,0.05516816090318296,0.13843508168529664,30.866809975981635,2.225262,87.0967741935484
26,27,Nagaland,82.5,20.1,1070.088845,8.771929824561402,6.265664160401002,0.0,2016.0,NE,0.36671435383881734,30.643299952312827,0.1264853127450389,0.43204577968526464,55.62665712929823,3.7461710000000004,15.037593984962404
27,28,Sikkim,84.0,2.7,1121.311475,5.090497737556561,1.6968325791855203,1.6968325791855203,2016.0,NE,0.3601236476043277,320.4868624420402,0.0911781285231116,0.4281298299845441,38.974497680733094,0.506354,8.484162895927602
28,29,Tripura,89.5,6.2,1038.743455,16.24883936861653,3.2497678737233056,4.642525533890437,2016.0,NE,0.32152028762198254,17.940421160760145,0.3713522792294488,0.8281972265023112,48.91484334918441,5.197101,24.141132776230272
29,30,Uttarakhand,80.5,7.8,1045.712127,50.751879699248114,1.8796992481203008,16.917293233082706,2016.0,C,0.328808864265928,12.81477377654663,0.2024942505095077,1.0917820867959371,49.245540165925796,11.372646999999999,69.54887218045113
30,31,Andaman & Nicobar Islands,87.5,13.1,1124.324324,1.953125,0.9765625,3.90625,2016.0,S,0.4071246819338422,329.5979643765903,0.047642138441023156,0.24173027989821882,38.08510134183031,0.037224,6.8359375
31,32,Chandigarh,83.5,7.8,1197.696737,2.481389578163772,0.0,3.3085194375516958,2016.0,N,0.9895196506550218,181.86113537117905,10.043859649122806,3.6148471615720523,38.22248155390293,2.2947849999999996,5.789909015715468
35,36,Puducherry,80.0,8.4,939.9727149,1.6968325791855203,5.656108597285068,1.1312217194570136,2016.0,S,0.6919831223628692,88.98101265822785,2.9686847599164925,1.1181434599156117,37.69407100254221,1.2114449999999999,8.484162895927602
36,1,Andhra Pradesh,70.0,4.5,1001.544998,130.09049773755655,193.4389140271493,110.29411764705884,2017.0,S,0.3325357005017368,1.9910652257815515,0.317976535270728,1.1818216904670011,46.40517174812974,46.603567999999996,433.82352941176475
37,2,Assam,79.0,8.1,1039.630278,1070.967741935484,1283.8709677419356,135.48387096774195,2017.0,NE,0.14904330312185296,1.713020555654286,0.4304291287386216,0.382649132160417,48.418976955489185,99.861653,2490.3225806451615
38,3,Bihar,68.5,7.2,1086.010769,1044.486215538847,417.9197994987469,261.90476190476187,2017.0,E,0.11843994666484324,0.22837532907107935,1.2424837781294138,0.3896201579541181,40.754147150713976,351.23518,1724.310776942356
39,4,Chattisgarh,75.0,3.3,1006.836633,45.96100278551532,117.45589600742804,44.56824512534819,2017.0,C,0.25383250532292406,2.4263307310149043,0.20844582849450038,0.8592618878637331,36.14778566357773,102.16577,207.98514391829156
40,5,Gujarat,79.0,4.8,1098.261527,135.64929693961952,410.2564102564102,142.2663358147229,2017.0,W,0.4601795148895293,2.1554394812680115,0.3398767497857405,2.165976224783862,20.80136887640699,100.8377,688.1720430107526
